Type,Ending,Year,EUR,PKR,CNY,INR,HKD,ZAR,IDR,KRW,MYR,PHP,TWD,THB,VND,SAR,ARS,HUF,KWD,MXN,PLN,BRL,QAR,RUB,CLP,TRY,,,,,,,,,,,
PL,December,2014,1.328471507,0.009905922,0.162305452,0.016395904,0.128954137,0.092267984,0.0000844,0.000949815,0.305683014,0.022529156,0.032985589,0.030793255,4.72071E-05,0.266572329,0.12357589,0.004305315,3.512891781,0.075207589,0.317468493,0.426193151,0.27462411,0.026490603,0.175514438,0.457507945,,,,,,,,,,,
PL,December,2015,1.110231507,0.009732295,0.159183014,0.015602233,0.128989918,0.078799425,0.0000748,0.000884261,0.257555068,0.021983112,0.03150594,0.02924657,4.56725E-05,0.266579178,0.108637534,0.003583014,3.322503836,0.063154192,0.265455342,0.304890137,0.274636164,0.01650263,0.153314822,0.369017425,,,,,,,,,,,
PL,December,2016,1.10682377,0.009547957,0.15058653,0.014887708,0.12882735,0.068242194,0.0000752,0.000862256,0.241721858,0.021066656,0.031023563,0.028344096,4.47121E-05,0.266604645,0.067863388,0.003554645,3.307905738,0.053632295,0.253760929,0.288688798,0.274611475,0.015003907,0.147921776,0.331758169,,,,,,,,,,,
PL,December,2017,1.130265205,0.009492427,0.148157562,0.015366085,0.128329836,0.075234027,0.0000747,0.000884953,0.232773425,0.019845767,0.03287977,0.029498951,4.40278E-05,0.266633151,0.060570411,0.003655342,3.296185753,0.053046219,0.265673151,0.313367945,0.272180274,0.017157644,0.154231753,0.274634548,,,,,,,,,,,
PL,December,2018,1.180779452,0.008268784,0.151351753,0.014649822,0.127593342,0.075967836,0.0000703,0.000909224,0.247880822,0.018994208,0.033190852,0.030952915,4.3451E-05,0.266604932,0.038169589,0.00370726,3.30985589,0.052083041,0.277300822,0.275446301,0.273455616,0.015991151,0.156146795,0.213157178,,,,,,,,,,,
PL,December,2019,1.11938274,0.006690257,0.144801973,0.014206866,0.127631123,0.069280359,0.0000707,0.000858555,0.241467945,0.019318981,0.032368082,0.032220485,4.30564E-05,0.26659726,0.021363836,0.003442849,3.290688767,0.051974548,0.260565479,0.253825479,0.273286301,0.015462767,0.142639671,0.176314219,,,,,,,,,,,
PL,December,2020,1.141612022,0.006182533,0.145025956,0.013494415,0.12893153,0.061097839,0.0000687,0.000848971,0.238125956,0.020165448,0.033956109,0.031978109,4.30431E-05,0.26645,0.014308743,0.003252077,3.259774863,0.046872268,0.257000273,0.195745628,0.272193443,0.013899918,0.126508087,0.143754126,,,,,,,,,,,
PL,December,2021,1.213185246,0.006252915,0.154599508,0.013695738,0.128974918,0.066874918,0.0000711,0.000904752,0.247391803,0.020752164,0.035734689,0.033300262,4.34005E-05,0.266585246,0.011468852,0.003378197,3.301277049,0.04965541,0.268572131,0.185421311,0.2724,0.013442787,0.13833541,0.137804426,,,,,,,,,,,
PL,March,2014,1.32845989,0.009857575,0.162674093,0.017136885,0.128920687,0.103929918,9.65347E-05,0.000913788,0.317684341,0.023574761,0.033674802,0.032582401,4.75869E-05,0.266631319,0.183476374,0.00447511,3.522896978,0.078435055,0.316726923,0.464991484,0.274650824,0.031411813,0.202140824,0.526165632,,,,,,,,,,,
PL,March,2015,1.328471507,0.009905922,0.162305452,0.016395904,0.128954137,0.092267984,8.43675E-05,0.000949815,0.305683014,0.022529156,0.032985589,0.030793255,4.72071E-05,0.266572329,0.12357589,0.004305315,3.512891781,0.075207589,0.317468493,0.426193151,0.27462411,0.026490603,0.175514438,0.457507945,,,,,,,,,,,
