New Code,revenue_type,currency_code,ending_month,Company Id,cluster_id,2015,2016,2017,2018,2019,2020,last
"F.1.1.0	",PL,USD,June,25,10,," 134,527,637,352 "," 264,176,000,000 "," 359,204,000,000 "," 329,809,000,000 ",,
"F.1.1.1	",PL,USD,June,25,10,," 27,087,031,913 "," 85,545,513,533 "," 124,235,000,000 "," 124,149,000,000 ",,
"F.1.2.0	",PL,USD,June,25,10,," 13,255,849,545 "," 75,898,000,000 "," 111,071,000,000 "," 88,185,000,000 ",,
"F.1.2.1	",PL,USD,June,25,10,,,,,,,
"F.2.1.0	",BS,USD,June,25,10,," 250,795,789,186 "," 294,014,000,000 "," 359,171,000,000 "," 398,434,000,000 ",,
"F.2.2.0	",BS,USD,June,25,10,," 54,749,130,044 "," 73,664,000,000 "," 84,922,000,000 "," 119,438,000,000 ",,
"F.2.3.0	",BS,USD,June,25,10,," 196,046,659,142 "," 220,350,000,000 "," 274,249,000,000 "," 278,996,000,000 ",,
"F.2.4.0	",,USD,June,25,10,,,,,,,
"F.2.4.1	",BS,USD,June,25,10,,,,,,,
"F.3.1.0	",,USD,June,25,10,,,,," 657,000,000 ",,
"E.1.1	",,,June,25,10,,,," 46,600,000 "," 44,700,000 ",,
"E.1.2	",,,June,25,10,,,," 14,700,000 "," 13,200,000 ",,
"E.1.3	",,,June,25,10,,,,,,,
"E.1.4	",,,June,25,10,,,," 61,300,000 "," 57,900,000 ",,
"E.1.5.0	",,,,25,10,,,,,,,Yes
"E.1.5.1	",,,,25,10,,,,,,,No
"E.1.6.0	",,,,25,10,,,,,,,Yes
"E.1.6.1	",,,June,25,10,,,,,,,-8%
"E.1.7	",,,,25,10,,,,,,,No
"E.2.1	",,,June,25,10,,,,,,,
"E.2.2	",,,June,25,10,,,,,,,
"E.2.3	",,,June,25,10,,,,,,,
"E.2.4	",,,June,25,10,,,," 202,000 "," 202,000 ",,
"E.2.5	",,,June,25,10,,,,,,,
"E.3.1	",,,June,25,10,,,,,,,
"E.3.2	",,,June,25,10,,,,,,,
"E.3.3	",,,June,25,10,,,,,,,
"E.3.4	",,,June,25,10,,,,,,,
"E.4.1.0	",,,June,25,10,,,,,,,
"E.4.1.1	",,,June,25,10,,,,,,,
"E.4.2	",,,June,25,10,,,,,,,
