code,c_1,c_2,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_13,c_14,c_15,c_16,c_17,c_18
Code,Apparel & Footwear,Auto,Banks,Beverages,Cement,Dairy,Education,Health Care Supplies,Integrated Oil,Internet & Allied,NBFC,Pharmaceuticals & Biotech,Retail,Semiconductors,Software & IT,Steel
E.1.1,1,10,1,10,10,10,1,1,10,1,1,1,1,10,1,10
E.1.2,1,10,1,10,10,10,1,1,10,1,1,1,1,10,1,10
E.1.3,1,10,1,10,10,10,1,1,10,1,1,1,1,10,1,10
E.1.4,1,10,1,10,10,10,1,1,10,1,1,1,1,10,1,10
E.1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E.1.6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E.1.7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E.2.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E.2.2,1,1,1,1,10,10,1,1,10,1,1,1,1,1,1,10
E.2.3,1,1,1,1,10,10,1,1,10,1,1,1,1,1,1,10
E.2.4,1,1,1,1,10,10,1,1,10,1,1,1,1,1,1,10
E.2.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E.3.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E.3.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E.3.3,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
E.3.4,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
E.4.1,1,10,1,10,10,10,1,1,1,10,1,1,10,10,10,10
E.4.2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
E.4.3,1,1,0,1,1,1,1,1,1,10,1,1,1,10,10,1
E.4.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
E.4.5,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
E.5.1,0,10,0,0,10,10,0,1,10,0,0,0,0,10,0,10
E.5.2,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
E.5.3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
E.5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E.5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E.5.6,1,10,0,1,10,1,1,10,10,1,1,10,1,10,1,10
E.5.7,1,10,0,1,1,1,1,1,1,1,1,1,1,10,1,1
E.5.8,1,10,0,1,10,1,1,1,10,1,1,1,1,10,1,10
E.6.1,1,10,1,10,10,10,1,1,1,10,1,1,10,10,10,10
E.6.2,1,10,1,10,10,10,1,1,1,10,1,1,10,10,10,10
E.7.1,1,1,0,1,10,10,1,1,10,1,0,1,1,1,1,10
E.7.2,1,1,0,1,10,10,1,1,10,1,0,1,1,1,1,10
E.7.3,1,1,0,1,10,10,1,1,10,1,0,1,1,1,1,10
E.7.4,1,1,0,1,10,10,0,1,10,0,1,1,1,1,0,10
E.7.5,1,1,0,1,1,10,0,1,1,0,0,1,1,1,0,1
E.7.6,1,1,0,1,1,10,0,1,1,1,1,1,1,1,1,1
E.7.7,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
E.7.8,0,0,0,0,1,10,0,0,1,0,0,0,0,0,0,1
E.8.1,10,10,0,1,1,10,0,1,1,1,1,1,1,1,1,1
E.8.2,1,10,0,1,1,1,0,1,1,1,1,1,1,1,1,1
E.8.3,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
E.8.4,1,1,0,1,1,10,1,1,1,1,1,1,1,1,1,1
E.8.5,1,1,0,1,1,10,1,1,1,1,1,1,1,1,1,1
E.8.6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E.8.7,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0
E.8.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
E.8.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
E.8.10,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
E.8.11,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
E.8.12,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
E.8.13,0,0,0,0,1,10,0,0,1,0,0,0,0,0,0,1
E.8.14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E.8.15,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
E.8.16,10,10,0,10,1,10,0,1,1,1,1,1,10,1,1,1
E.9.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E.9.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E.9.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E.9.4,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0
E.10.1,1,1,1,10,1,10,1,1,10,1,1,1,1,10,1,1
E.10.2,1,1,1,10,1,10,1,1,10,1,1,1,1,10,1,1
E.10.3,1,1,1,10,1,10,1,1,10,1,1,1,1,10,1,1
E.10.4,1,1,1,10,1,10,1,1,10,1,1,1,1,10,1,1
E.10.5,1,1,1,10,1,10,1,1,10,1,1,1,1,10,1,1
E.10.6,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1
E.10.7,1,1,1,10,1,10,1,1,10,1,1,1,1,10,1,1
E.11.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E.11.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S.1.1,1,1,1,1,1,1,1,1,1,10,1,1,10,1,10,1
S.1.2,1,1,1,1,1,1,1,1,1,10,1,1,10,1,10,1
S.1.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S.1.4,1,1,1,1,1,1,1,1,1,1,1,1,10,1,1,1
S.1.5,1,1,1,1,1,1,1,1,1,1,1,1,10,1,1,1
S.1.6,1,1,1,1,1,1,1,1,1,1,1,1,10,1,1,1
S.1.7,1,1,1,1,1,1,1,1,1,1,1,1,10,1,1,1
S.1.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S.1.9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
S.2.1,1,1,1,1,10,10,1,1,10,1,1,1,1,10,1,10
S.2.2,1,1,1,1,10,10,1,1,10,1,1,1,1,10,1,10
S.2.3,1,1,1,1,10,10,1,1,10,1,1,1,1,10,1,10
S.2.4,1,1,1,1,10,10,1,1,10,1,1,1,1,10,1,10
S.2.5,1,1,1,1,10,10,1,1,10,1,1,1,1,10,1,10
S.2.6,1,1,1,1,10,10,1,1,10,1,1,1,1,10,1,10
S.3.1,1,1,1,1,1,1,1,1,10,1,1,10,1,1,1,1
